,DBpedia
http://dbpedia.org/ontology/ComicsCreator,1.0
http://dbpedia.org/ontology/Company,0.9167209908735332
http://dbpedia.org/ontology/ConcentrationCamp,0.9875
http://dbpedia.org/ontology/Congressman,0.9985640436530729
http://dbpedia.org/ontology/Conifer,1.0
http://dbpedia.org/ontology/Constellation,1.0
http://dbpedia.org/ontology/Continent,1.0
http://dbpedia.org/ontology/Convention,0.9953440248318676
http://dbpedia.org/ontology/Country,0.9690940845926038
http://dbpedia.org/ontology/Crater,1.0
http://dbpedia.org/ontology/CricketGround,0.9846153846153847
http://dbpedia.org/ontology/CricketLeague,1.0
http://dbpedia.org/ontology/CricketTeam,0.9958734525447043
http://dbpedia.org/ontology/Cricketer,0.995036925275947
http://dbpedia.org/ontology/Criminal,0.982831227729187
http://dbpedia.org/ontology/Crustacean,1.0
http://dbpedia.org/ontology/CultivatedVariety,0.9990693345742205
http://dbpedia.org/ontology/Curler,1.0
http://dbpedia.org/ontology/CurlingLeague,1.0
http://dbpedia.org/ontology/Currency,0.9779904306220095
http://dbpedia.org/ontology/Cycad,1.0
http://dbpedia.org/ontology/CyclingRace,1.0
http://dbpedia.org/ontology/CyclingTeam,1.0
http://dbpedia.org/ontology/Cyclist,0.9975026182228309
http://dbpedia.org/ontology/Dam,0.9902187902187902
http://dbpedia.org/ontology/DartsPlayer,1.0
http://dbpedia.org/ontology/Database,1.0
http://dbpedia.org/ontology/Device,0.43759332774884363
http://dbpedia.org/ontology/Diocese,0.9997536945812808
http://dbpedia.org/ontology/Disease,0.9940632334667955
http://dbpedia.org/ontology/Document,0.0
http://dbpedia.org/ontology/Drug,0.9982220246694077
http://dbpedia.org/ontology/Earthquake,1.0
http://dbpedia.org/ontology/Economist,0.9949537426408747
http://dbpedia.org/ontology/EducationalInstitution,0.9969745793054063
http://dbpedia.org/ontology/Election,0.9983047654925598
http://dbpedia.org/ontology/Embryology,1.0
http://dbpedia.org/ontology/Engine,0.025064877523893917
http://dbpedia.org/ontology/Engineer,1.0
http://dbpedia.org/ontology/Entomologist,1.0
